Feature,Importance,Model,timestamp
عدد الحمامات,0.30815247,XGBoost (tuned),2026-07-04 22:16:49
المساحة (م2),0.29689744,XGBoost (tuned),2026-07-04 22:16:49
الوجهة,0.13652104,XGBoost (tuned),2026-07-04 22:16:49
عدد الشقق في كل طابق,0.08695176,XGBoost (tuned),2026-07-04 22:16:49
عدد الغرف,0.062086012,XGBoost (tuned),2026-07-04 22:16:49
الشارع_encoded,0.03998016,XGBoost (tuned),2026-07-04 22:16:49
الإكساء,0.021699162,XGBoost (tuned),2026-07-04 22:16:49
اتجاه_غربي,0.018691873,XGBoost (tuned),2026-07-04 22:16:49
الطابق,0.012974575,XGBoost (tuned),2026-07-04 22:16:49
اتجاه_شمالي,0.012436254,XGBoost (tuned),2026-07-04 22:16:49
وجود مصعد,0.0019084672,XGBoost (tuned),2026-07-04 22:16:49
اتجاه_شرقي,0.0017008176,XGBoost (tuned),2026-07-04 22:16:49
موقف سيارة,0.0,XGBoost (tuned),2026-07-04 22:16:49
عدد الحمامات,0.30815247,XGBoost (tuned),2026-07-04 22:55:53
المساحة (م2),0.29689744,XGBoost (tuned),2026-07-04 22:55:53
الوجهة,0.13652104,XGBoost (tuned),2026-07-04 22:55:53
عدد الشقق في كل طابق,0.08695176,XGBoost (tuned),2026-07-04 22:55:53
عدد الغرف,0.062086012,XGBoost (tuned),2026-07-04 22:55:53
الشارع_encoded,0.03998016,XGBoost (tuned),2026-07-04 22:55:53
الإكساء,0.021699162,XGBoost (tuned),2026-07-04 22:55:53
اتجاه_غربي,0.018691873,XGBoost (tuned),2026-07-04 22:55:53
الطابق,0.012974575,XGBoost (tuned),2026-07-04 22:55:53
اتجاه_شمالي,0.012436254,XGBoost (tuned),2026-07-04 22:55:53
وجود مصعد,0.0019084672,XGBoost (tuned),2026-07-04 22:55:53
اتجاه_شرقي,0.0017008176,XGBoost (tuned),2026-07-04 22:55:53
موقف سيارة,0.0,XGBoost (tuned),2026-07-04 22:55:53
