seed,RMSE,MAE,R2
0,7469.990361439564,5263.49560546875,0.8836660385131836
1,14494.597614283744,7633.4736328125,0.8164498209953308
2,7655.119332838646,5448.25634765625,0.930517315864563
3,8728.976114069737,6288.359375,0.9214314222335815
4,6677.5606324465525,4465.17431640625,0.9475430846214294
5,11684.99550705947,7839.8095703125,0.9223029613494873
6,7407.145469072415,5486.9326171875,0.9278031587600708
7,7538.226051266969,5565.3955078125,0.8953231573104858
8,5120.619103194456,4122.56884765625,0.9411599636077881
9,9917.265752212148,7265.96630859375,0.9230509996414185
10,14107.418757519037,7016.70458984375,0.8977663516998291
11,9471.755064400684,5649.0078125,0.9213894009590149
12,7188.3116237403065,5206.5009765625,0.9644947052001953
13,3662.5108873558315,3197.293701171875,0.9855063557624817
14,7441.978769117794,4518.98193359375,0.9668521285057068
15,10989.681706036805,7417.4521484375,0.9429504871368408
16,9860.191884542613,6112.9931640625,0.9126545190811157
17,5782.278789543098,3630.69140625,0.9671289920806885
18,11076.096424282337,7567.04833984375,0.7072008848190308
19,13066.129036558608,7770.50244140625,0.899170994758606
20,6621.019558950117,4206.10888671875,0.956524133682251
21,9252.530897003262,7275.3984375,0.9480067491531372
22,12072.131212010578,8672.28515625,0.9358646869659424
23,8182.675601537678,5409.4111328125,0.9309265613555908
24,6792.287979760576,4646.84765625,0.9717175364494324
25,6909.898986237064,4473.35693359375,0.9726628661155701
26,6667.145716121705,5325.37939453125,0.9460840821266174
27,15372.61253008089,8517.0078125,0.8015074729919434
28,6121.3599796123735,3795.567138671875,0.9358622431755066
29,6323.304515836637,4570.7568359375,0.9536172151565552
